ADRAR,66,8709,132.5
CHLEF,25,10410,416.4
LAGHOUAT,758,237330,313.1
O.E.BOUAGHI,0,0,0.0
BATNA,98,18160,185.3
BEJAIA,14,1630,116.4
BISKRA,525,298310,568.2
BEC HAR,100,12000,120.0
BLIDA,91,39380,435.1
BOUIRA,17,1084,63.8
TAMAN RASSET,31,5711,186.0
TEBESSA,10,800,80.0
TLEMCEN,85,11356,133.6
TIARET,138,7534,54.6
TIZI.OUZOU,0,0,0.0
ALGER,415,124115,298.9
DJELFA,134,12810,95.6
JIJEL,83,20765,249.7
SETIF,7,1000,142.9
SAIDA,11,3900,371.4
SKIKDA,65,16453,253.1
SBABBES,62,14198,229.0
ANNABA,296,32544,109.9
GUELMA,0,0,0.0
CONSTANTINE,9,512,56.9
MEDEA,33,3960,120.0
MOSTAGANEM,558,277650,497.8
MSILA,91,28700,315.4
MA SCARA,94,18500,196.8
OUARGLA,70,18697,266.9
ORAN,28,4223,153.4
EL-BAYADH,35,9735,278.1
ILLIZI,7,775,111.1
B.B.ARRERIDJ,0,0,0.0
BOUMERDES,373,84550,226.7
EL-TARF,39,5840,149.7
TINDOUF,2,690,328.6
TISSEMSlLT,0,0,0.0
EL-OUED,189,37584,198.7
KHENCHELA,10,4000,400.0
SOUK-AHRAS,141,223,1.6
TIPAZA,256,84299,329.4
MILA,18,6734,382.2
AIN-DEFLA,38,9019,237.3
NAAMA,97,9945,102.5
A.TEMOUCHENT,96,20985,219.5
GHARDAIA,200,44100,220.5
RELIZANE,94,9860,104.9
